company_permalink,company_name,company_category_list,company_country_code,company_state_code,company_region,company_city,investor_permalink,investor_name,investor_country_code,investor_state_code,investor_region,investor_city,funding_round_permalink,funding_round_type,funding_round_code,funded_at,raised_amount_usd
/organization/3derm-systems,3Derm Systems,3D|Medical|Physicians,USA,CT,Hartford,New Haven,/organization/masschallenge,MassChallenge,USA,MA,Boston,Boston,/funding-round/8a42106d2ef3e2a37ded103beeb012e9,grant,,10/29/13,50000
/organization/3dim,3dim,3D Technology|Human Computer Interaction|Sensors,SVN,61,Ljubljana,Ljubljana,/organization/masschallenge,MassChallenge,USA,MA,Boston,Boston,/funding-round/3789f9aa274aaef8936832f30e829fe4,seed,,10/30/13,50000
/organization/3discovered,3Discovered,Automotive,USA,IL,Chicago,Chicago,/organization/accelerate-it-ventures,AITV (Accelerate IT Ventures),USA,CA,SF Bay Area,San Francisco,/funding-round/28a9145d5d84232e170663d70c8ae2bd,venture,A,11/24/14,
/organization/3divaz-2,3DIVAZ,,,,,,/organization/saffa-bürgschaftsgenossenschaft,Saffa Bürgschaftsgenossenschaft,,,,,/funding-round/2c236a01cf37f6d401b2f8b72684e0f7,seed,,11/1/15,202250.0316
/organization/3divi-company,3DiVi Company,3D|Computer Vision|Kinect|Robotics|Software,RUS,13,RUS - Other,Miass,/organization/papillon-zao,Papillon ZAO,,,,,/funding-round/7210c966a3849016584fc8027ad3c584,seed,,1/1/11,1870000
/organization/3divi-company,3DiVi Company,3D|Computer Vision|Kinect|Robotics|Software,RUS,13,RUS - Other,Miass,/organization/skolkovo-foundation,Skolkovo Foundation,RUS,48,Moscow,Moscow,/funding-round/7210c966a3849016584fc8027ad3c584,seed,,1/1/11,1870000
/organization/3divi-company,3DiVi Company,3D|Computer Vision|Kinect|Robotics|Software,RUS,13,RUS - Other,Miass,/organization/skolkovo-innovation-center,Skolkovo Innovation Center,RUS,48,Moscow,Moscow,/funding-round/3ccdd9d58fd3588118537170fde346b8,grant,,10/1/12,800000
/organization/3dmena,3Dmena,3D Printing|3D Technology|Printing,JOR,16,Amman,Amman,/organization/oasis-500,Oasis 500,JOR,16,Amman,Amman,/funding-round/eb090919a19045fd2aab50cace641ade,seed,,1/1/14,30000
/organization/3dplusme,3dplusme,3D Printing,USA,UT,Salt Lake City,Salt Lake City,/organization/subtraction-capital,Subtraction Capital,USA,CA,SF Bay Area,San Francisco,/funding-round/5aff44106b0317c745708cd0a70a2921,seed,,12/5/14,1800000
/organization/3dplusme,3dplusme,3D Printing,USA,UT,Salt Lake City,Salt Lake City,/organization/subtraction-capital,Subtraction Capital,USA,CA,SF Bay Area,San Francisco,/funding-round/b09bf18e70c4ea6c99153f11257c6d56,venture,,4/6/14,200000
/organization/3dr-laboratories,3DR Laboratories,Biotechnology,USA,KY,Louisville,Louisville,/organization/advantage-capital-partners,Advantage Capital Partners,USA,AL,Huntsville,Huntsville,/funding-round/a59383c16e0c6b6ec964cee38da65e23,venture,,8/23/12,7200000
